scheme,method,coherence,gap_deg,snr_db,split,bucket_labels,dataset_cache_status,dataset_path,rmse_deg,avg_runtime_sec,avg_preprocess_runtime_sec,avg_forward_runtime_sec,dataset_pass_runtime_sec,num_test_samples,delta_vs_source_train_cell_rmse_deg,phase6_classical_best_method,phase6_classical_best_rmse_deg,delta_vs_phase6_classical_best_rmse_deg,phase6_direct_learned_rmse_deg,delta_vs_phase6_direct_learned_rmse_deg,phase7e_reference_rmse_deg,delta_vs_phase7e_reference_rmse_deg
phase7f_gb19_coh_g3_s10_mixedft,esprit,coherent,3,10,coherent_ood,coherent_ood|joint_gap_snr_shift,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap3_snr10_45k,0.49865113714334247,0.016047799688531084,0.011980442610763324,0.004053613566521866,144.43019719677977,9000,0.13942695126722743,esprit,1.1451603176934058,-0.6465091805500633,0.28035873185671145,0.21829240528663102,2.127462125722408,-1.6288109885790656
phase7f_gb19_coh_g3_s15_mixedft,esprit,coherent,3,15,coherent_ood,coherent_ood|joint_gap_snr_shift,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap3_snr15_45k,0.49346774612858474,0.01603615482209716,0.01193869072193047,0.0040834499665717075,144.32539339887444,9000,0.1342435602524697,esprit,1.1094644965202403,-0.6159967503916555,0.2681363680118258,0.22533137811675896,2.1709381092287745,-1.6774703631001897
phase7f_gb19_coh_g4_s1_mixedft,esprit,coherent,4,1,coherent_ood,coherent_ood|gap_shift_only,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap4_snr1_45k,0.34808125879275265,0.016299609322560072,0.012211029211369654,0.004074587544924321,146.69648390304064,9000,-0.011142927083362397,root-music,0.1640090130921021,0.18407224570065053,0.24628822941979586,0.10179302937295678,1.984340546148953,-1.6362592873562003
phase7f_gb19_coh_g4_s5_mixedft,esprit,coherent,4,5,coherent_ood,coherent_ood|joint_gap_snr_shift,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap4_snr5_45k,0.23900648226612117,0.016231821077397197,0.012166828132933006,0.004051127899354065,146.08638969657477,9000,-0.12021770360999387,esprit,0.1050169081193852,0.13398957414673596,0.1477631788273063,0.09124330343881487,2.0962528861321075,-1.8572464038659864
phase7f_gb19_coh_g4_s10_mixedft,esprit,coherent,4,10,coherent_ood,coherent_ood|joint_gap_snr_shift,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap4_snr10_45k,0.24288975753134218,0.016354361555765435,0.012256737255381369,0.004082234399781252,147.1892540018889,9000,-0.11633442834477287,esprit,0.10004248598760732,0.14284727154373486,0.12242651183187934,0.12046324569946283,2.2375562902404926,-1.9946665327091504
phase7f_gb19_coh_g4_s15_mixedft,esprit,coherent,4,15,coherent_ood,coherent_ood|joint_gap_snr_shift,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap4_snr15_45k,0.24229917070670126,0.015717024033475253,0.011678909933569634,0.004024250233617042,141.45321630127728,9000,-0.11692501516941378,esprit,0.10013248646826864,0.14216668423843262,0.11856878731163657,0.12373038339506469,2.2503884668353944,-2.008089296128693
phase7f_gb19_coh_g5_s1_mixedft,esprit,coherent,5,1,coherent_ood,coherent_ood|gap_shift_only,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap5_snr1_45k,0.8887859953800971,0.016462782922032702,0.012385849333284163,0.004062980233361789,148.16504629829433,9000,0.529561809503982,dbf,1.1127682004196027,-0.2239822050395056,0.32978179224891707,0.5590042031311799,2.574817363919366,-1.6860313685392692
phase7f_gb19_coh_g5_s5_mixedft,esprit,coherent,5,5,coherent_ood,coherent_ood|joint_gap_snr_shift,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap5_snr5_45k,0.6073448884823192,0.01633247164462874,0.012214387955506228,0.004104157188933135,146.99224480165867,9000,0.2481207026062041,dbf,1.0663982618205565,-0.45905337333823737,0.24358995204821754,0.3637549364341016,2.6183280072739956,-2.0109831187916765
phase7f_gb19_coh_g5_s10_mixedft,esprit,coherent,5,10,coherent_ood,coherent_ood|joint_gap_snr_shift,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap5_snr10_45k,0.5320965422381106,0.016113736032973974,0.012007533333251356,0.004091034944402054,145.02362429676577,9000,0.1728723563619956,dbf,0.9189682133425613,-0.38687167110445064,0.21289680376324754,0.3191997384748631,2.7179036731785806,-2.18580713094047
phase7f_gb19_coh_g5_s15_mixedft,esprit,coherent,5,15,coherent_ood,coherent_ood|joint_gap_snr_shift,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap5_snr15_45k,0.4903506966069668,0.015745474199783834,0.0116786011777262,0.004052502655029659,141.7092677980545,9000,0.13112651073085174,dbf,0.7109649057200085,-0.2206142091130417,0.20271735610221525,0.28763334050475153,2.7244830892810086,-2.234132392674042
phase7f_gb19_noncoh_g1_s1_mixedft,esprit,non-coherent,1,1,noncoherent_transfer,noncoherent_transfer|snr_shift_only|gap_shift_only|full_noncoherent_transfer,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap1_snr1_45k,0.36932044892196053,0.016602156999921944,0.012478196944220043,0.0041099179996332775,149.4194129992975,9000,0.010096263045845488,esprit,5.0823079557802595,-4.712987506858299,0.4001531689954606,-0.030832720073500075,0.33370410773596804,0.035616341185992495
phase7f_gb19_noncoh_g1_s5_mixedft,esprit,non-coherent,1,5,noncoherent_transfer,noncoherent_transfer|snr_shift_only|full_noncoherent_transfer,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap1_snr5_45k,0.24475610318562707,0.01643112964421097,0.012326418122069704,0.004090788877704957,147.8801667978987,9000,-0.11446808269048797,esprit,0.9243079218827935,-0.6795518186971665,0.3786965637197805,-0.13394046053415343,0.8441885421048675,-0.5994324389192405
phase7f_gb19_noncoh_g1_s10_mixedft,esprit,non-coherent,1,10,noncoherent_transfer,noncoherent_transfer|snr_shift_only|full_noncoherent_transfer,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap1_snr10_45k,0.24400918570557498,0.016102078411462977,0.012026550033537205,0.004061783566669975,144.91870570316678,9000,-0.11521500017054007,esprit,0.41647171343802386,-0.17246252773244888,0.37439584573344664,-0.13038666002787166,1.520711857753838,-1.276702672048263
phase7f_gb19_noncoh_g1_s15_mixedft,esprit,non-coherent,1,15,noncoherent_transfer,noncoherent_transfer|snr_shift_only|full_noncoherent_transfer,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap1_snr15_45k,0.2528651056536054,0.016129186133556586,0.012041846388524088,0.004073713489284273,145.16267520200927,9000,-0.10635908022250962,esprit,0.42303101030845597,-0.17016590465485054,0.3793933533319524,-0.12652824767834697,1.6105116082807083,-1.357646502627103
phase7f_gb19_noncoh_g2_s1_mixedft,esprit,non-coherent,2,1,noncoherent_transfer,noncoherent_transfer|gap_shift_only|full_noncoherent_transfer,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap2_snr1_45k,0.2795027405814377,0.016632045977865346,0.01249354205531482,0.004124679766530689,149.6884138007881,9000,-0.07972144529467734,esprit,0.6209234505012935,-0.3414207099198558,0.5670833978743254,-0.2875806572928877,0.8267625084093049,-0.5472597678278672
