scheme,method,coherence,gap_deg,snr_db,split,bucket_labels,dataset_cache_status,dataset_path,rmse_deg,avg_runtime_sec,avg_preprocess_runtime_sec,avg_forward_runtime_sec,dataset_pass_runtime_sec,num_test_samples,delta_vs_source_train_cell_rmse_deg,phase6_classical_best_method,phase6_classical_best_rmse_deg,delta_vs_phase6_classical_best_rmse_deg,phase6_direct_learned_rmse_deg,delta_vs_phase6_direct_learned_rmse_deg,phase7e_reference_rmse_deg,delta_vs_phase7e_reference_rmse_deg,phase7f_reference_rmse_deg,delta_vs_phase7f_reference_rmse_deg
phase7g_gb19_noncoh_g2_s15_boundary2deg,esprit,non-coherent,2,15,noncoherent_transfer,noncoherent_transfer,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap2_snr15_45k,0.2532469430435175,0.016240431355913947,0.012158943544685219,0.004066539511595491,146.1638822032255,9000,-0.10597724283259752,esprit,0.11042025021427106,0.14282669282924648,0.5105118578623244,-0.2572649148188069,1.3417371985396325,-1.088490255496115,0.28543103454481644,-0.03218409150129892
phase7g_gb19_noncoh_g3_s1_boundary2deg,esprit,non-coherent,3,1,noncoherent_transfer,noncoherent_transfer,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap3_snr1_45k,0.35622911770415105,0.016415613699827292,0.012345954377786256,0.004055345466399255,147.74052329844562,9000,-0.0029950681719639882,root-music,0.1627268777316611,0.19350223997248994,0.4776410689391819,-0.12141195123503085,1.4284002404098708,-1.0721711227057198,0.3422171371844734,0.01401198051967767
phase7g_gb19_noncoh_g3_s5_boundary2deg,esprit,non-coherent,3,5,noncoherent_transfer,noncoherent_transfer,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap3_snr5_45k,0.3149198585659092,0.016353562455727822,0.012277557877771971,0.004061498478184351,147.1820621015504,9000,-0.04430432731020584,esprit,0.10599528502164046,0.20892457354426874,0.26068924289905715,0.054230615666852056,1.3929698488800917,-1.0780499903141825,0.31399884766976,0.0009210108961492103
phase7g_gb19_noncoh_g3_s10_boundary2deg,esprit,non-coherent,3,10,noncoherent_transfer,noncoherent_transfer,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap3_snr10_45k,0.3213813116115418,0.016530297766834134,0.012412157089087284,0.00410323164481411,148.77267990150722,9000,-0.03784287426457322,esprit,0.09881844933963968,0.22256286227190214,0.21024764730944684,0.11113366430209498,1.5682003139695968,-1.246819002358055,0.32565863015763497,-0.004277318546093145
phase7g_gb19_noncoh_g3_s15_boundary2deg,esprit,non-coherent,3,15,noncoherent_transfer,noncoherent_transfer,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap3_snr15_45k,0.32468745601513943,0.0163635700669062,0.012303928744617021,0.004045410511284394,147.2721306021558,9000,-0.03453672986097561,esprit,0.09848959707296856,0.22619785894217087,0.20262000575614894,0.12206745025899049,1.6008936569775143,-1.276206200962375,0.33019158096521595,-0.005504124950076517
phase7g_gb19_noncoh_g4_s1_boundary2deg,esprit,non-coherent,4,1,noncoherent_transfer,noncoherent_transfer,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap4_snr1_45k,0.5053908360483407,0.016560223866816767,0.012460788200040245,0.004084843777863878,149.0420148013509,9000,0.14616665017222563,root-music,0.13733610875910512,0.36805472728923555,0.3997259561021521,0.10566487994618856,2.039785362438004,-1.5343945263896632,0.46075884948463336,0.044631986563707315
phase7g_gb19_noncoh_g4_s5_boundary2deg,esprit,non-coherent,4,5,noncoherent_transfer,noncoherent_transfer,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap4_snr5_45k,0.37412408598768804,0.016446636510980574,0.012373081522101226,0.0040590956445537615,148.01972859882517,9000,0.014899900111572995,esprit,0.09778264008132201,0.276341445906366,0.1999880261197514,0.17413605986793665,2.0207444891182322,-1.6466204031305443,0.35073703738282563,0.023387048604862404
phase7g_gb19_noncoh_g4_s10_boundary2deg,esprit,non-coherent,4,10,noncoherent_transfer,noncoherent_transfer,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap4_snr10_45k,0.3583912087571253,0.016368264199493245,0.012302016177369902,0.00405152797760416,147.3143777954392,9000,-0.0008329771189897195,esprit,0.09310747000114644,0.2652837387559789,0.15885593883205515,0.19953526992507017,2.151406558586578,-1.7930153498294528,0.34338095869504065,0.015010250062084673
phase7g_gb19_noncoh_g4_s15_boundary2deg,esprit,non-coherent,4,15,noncoherent_transfer,noncoherent_transfer,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap4_snr15_45k,0.3515149705937115,0.01642563507768662,0.01233170958866443,0.004079230188741349,147.83071569917956,9000,-0.0077092152824035365,esprit,0.09247889324214649,0.25903607735156503,0.15299926362661095,0.19851570696710055,2.171274971717214,-1.8197600011235027,0.34019644975927504,0.011318520834436463
phase7g_gb19_noncoh_g5_s1_boundary2deg,esprit,non-coherent,5,1,noncoherent_transfer,noncoherent_transfer,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap5_snr1_45k,0.9100964647171131,0.016520301377976367,0.012421051310989747,0.004084588389177548,148.68271240178728,9000,0.5508722788409981,root-music,0.14560294050526146,0.7644935242118517,0.3057513879840056,0.6043450767331076,2.5370714576136733,-1.6269749928965602,0.8444972709344187,0.06559919378269441
phase7g_gb19_noncoh_g5_s5_boundary2deg,esprit,non-coherent,5,5,noncoherent_transfer,noncoherent_transfer,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap5_snr5_45k,0.6401393973754291,0.016453894622222933,0.012344019467030497,0.004095400422100081,148.0850516000064,9000,0.2809152114993141,dbf,0.10601008478778969,0.5341293125876394,0.20471388541903726,0.4354255119563919,2.610276319589527,-1.970136922214098,0.5788662992740992,0.06127309810132997
phase7g_gb19_noncoh_g5_s10_boundary2deg,esprit,non-coherent,5,10,noncoherent_transfer,noncoherent_transfer,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap5_snr10_45k,0.5658497145973402,0.016306651544485552,0.012213778555470829,0.004078437622364921,146.75986390036996,9000,0.2066255287212252,dbf,0.10326457832015717,0.46258513627718306,0.14948280233074496,0.4163669122665953,2.7037103252222403,-2.1378606106249,0.5025312780775688,0.06331843651977143
phase7g_gb19_noncoh_g5_s15_boundary2deg,esprit,non-coherent,5,15,noncoherent_transfer,noncoherent_transfer,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap5_snr15_45k,0.5682051713308164,0.01630055389960762,0.012177822244495878,0.004108146099561256,146.7049850964686,9000,0.20898098545470134,dbf,0.10285154736058458,0.46535362397023183,0.1449265343166689,0.4232786370141475,2.7277782100406207,-2.159573038709804,0.5037313073350261,0.06447386399579025
